MPID,Description
mp-865869,Be2PtCu is Heusler structured and crystallizes in the cubic Fm-3m space group. Be(1) is bonded in a body-centered cubic geometry to four equivalent Pt(1) and four equivalent Cu(1) atoms. All Be(1)-Pt(1) bond lengths are 2.39 Å. All Be(1)-Cu(1) bond lengths are 2.39 Å. Pt(1) is bonded in a body-centered cubic geometry to eight equivalent Be(1) atoms. Cu(1) is bonded in a distorted body-centered cubic geometry to eight equivalent Be(1) atoms.
mp-865656,"TiWMn2 is Heusler structured and crystallizes in the cubic Fm-3m space group. Ti(1) is bonded in a 14-coordinate geometry to six equivalent W(1) and eight equivalent Mn(1) atoms. All Ti(1)-W(1) bond lengths are 2.97 Å. All Ti(1)-Mn(1) bond lengths are 2.57 Å. W(1) is bonded in a distorted body-centered cubic geometry to six equivalent Ti(1) and eight equivalent Mn(1) atoms. All W(1)-Mn(1) bond lengths are 2.57 Å. Mn(1) is bonded to four equivalent Ti(1) and four equivalent W(1) atoms to form a mixture of distorted edge, face, and corner-sharing MnTi4W4 tetrahedra."
mp-865640,Ru2TiGe is Heusler structured and crystallizes in the cubic Fm-3m space group. Ti(1) is bonded in a body-centered cubic geometry to eight equivalent Ru(1) and six equivalent Ge(1) atoms. All Ti(1)-Ru(1) bond lengths are 2.62 Å. All Ti(1)-Ge(1) bond lengths are 3.02 Å. Ru(1) is bonded in a body-centered cubic geometry to four equivalent Ti(1) and four equivalent Ge(1) atoms. All Ru(1)-Ge(1) bond lengths are 2.62 Å. Ge(1) is bonded in a distorted body-centered cubic geometry to six equivalent Ti(1) and eight equivalent Ru(1) atoms.
mp-989405,"Cs2LiInBr6 is (Cubic) Perovskite-derived structured and crystallizes in the cubic Fm-3m space group. Cs(1) is bonded to twelve equivalent Br(1) atoms to form CsBr12 cuboctahedra that share corners with twelve equivalent Cs(1)Br12 cuboctahedra, faces with six equivalent Cs(1)Br12 cuboctahedra, faces with four equivalent Li(1)Br6 octahedra, and faces with four equivalent In(1)Br6 octahedra. All Cs(1)-Br(1) bond lengths are 3.92 Å. Li(1) is bonded to six equivalent Br(1) atoms to form LiBr6 octahedra that share corners with six equivalent In(1)Br6 octahedra and faces with eight equivalent Cs(1)Br12 cuboctahedra. The corner-sharing octahedra are not tilted. All Li(1)-Br(1) bond lengths are 2.82 Å. In(1) is bonded to six equivalent Br(1) atoms to form InBr6 octahedra that share corners with six equivalent Li(1)Br6 octahedra and faces with eight equivalent Cs(1)Br12 cuboctahedra. The corner-sharing octahedra are not tilted. All In(1)-Br(1) bond lengths are 2.73 Å. Br(1) is bonded in a distorted linear geometry to four equivalent Cs(1), one Li(1), and one In(1) atom."
mp-862699,ScTaOs2 is Heusler structured and crystallizes in the cubic Fm-3m space group. Sc(1) is bonded in a body-centered cubic geometry to eight equivalent Os(1) atoms. All Sc(1)-Os(1) bond lengths are 2.76 Å. Ta(1) is bonded in a body-centered cubic geometry to eight equivalent Os(1) atoms. All Ta(1)-Os(1) bond lengths are 2.76 Å. Os(1) is bonded in a body-centered cubic geometry to four equivalent Sc(1) and four equivalent Ta(1) atoms.
mp-977382,Ta2VRu is Heusler structured and crystallizes in the cubic Fm-3m space group. Ta(1) is bonded in a body-centered cubic geometry to four equivalent V(1) and four equivalent Ru(1) atoms. All Ta(1)-V(1) bond lengths are 2.73 Å. All Ta(1)-Ru(1) bond lengths are 2.73 Å. V(1) is bonded in a distorted body-centered cubic geometry to eight equivalent Ta(1) and six equivalent Ru(1) atoms. All V(1)-Ru(1) bond lengths are 3.15 Å. Ru(1) is bonded in a body-centered cubic geometry to eight equivalent Ta(1) and six equivalent V(1) atoms.
mp-22903,"RbI is Halite, Rock Salt structured and crystallizes in the cubic Fm-3m space group. Rb(1) is bonded to six equivalent I(1) atoms to form a mixture of edge and corner-sharing RbI6 octahedra. The corner-sharing octahedra are not tilted. All Rb(1)-I(1) bond lengths are 3.69 Å. I(1) is bonded to six equivalent Rb(1) atoms to form a mixture of edge and corner-sharing IRb6 octahedra. The corner-sharing octahedra are not tilted."
mp-867911,ScPd2Cd is Heusler structured and crystallizes in the cubic Fm-3m space group. Sc(1) is bonded in a body-centered cubic geometry to eight equivalent Pd(1) atoms. All Sc(1)-Pd(1) bond lengths are 2.82 Å. Pd(1) is bonded in a body-centered cubic geometry to four equivalent Sc(1) and four equivalent Cd(1) atoms. All Pd(1)-Cd(1) bond lengths are 2.82 Å. Cd(1) is bonded in a body-centered cubic geometry to eight equivalent Pd(1) atoms.
mp-864715,HfCo2In is Heusler structured and crystallizes in the cubic Fm-3m space group. Hf(1) is bonded in a distorted body-centered cubic geometry to eight equivalent Co(1) and six equivalent In(1) atoms. All Hf(1)-Co(1) bond lengths are 2.69 Å. All Hf(1)-In(1) bond lengths are 3.10 Å. Co(1) is bonded in a distorted body-centered cubic geometry to four equivalent Hf(1) and four equivalent In(1) atoms. All Co(1)-In(1) bond lengths are 2.69 Å. In(1) is bonded in a distorted body-centered cubic geometry to six equivalent Hf(1) and eight equivalent Co(1) atoms.
mp-27827,"Rb2TiCl6 crystallizes in the cubic Fm-3m space group. Rb(1) is bonded to twelve equivalent Cl(1) atoms to form RbCl12 cuboctahedra that share corners with twelve equivalent Rb(1)Cl12 cuboctahedra, faces with six equivalent Rb(1)Cl12 cuboctahedra, and faces with four equivalent Ti(1)Cl6 octahedra. All Rb(1)-Cl(1) bond lengths are 3.54 Å. Ti(1) is bonded to six equivalent Cl(1) atoms to form TiCl6 octahedra that share faces with eight equivalent Rb(1)Cl12 cuboctahedra. All Ti(1)-Cl(1) bond lengths are 2.35 Å. Cl(1) is bonded in a distorted single-bond geometry to four equivalent Rb(1) and one Ti(1) atom."
mp-867840,BeFeRh2 is Heusler structured and crystallizes in the cubic Fm-3m space group. Be(1) is bonded in a body-centered cubic geometry to eight equivalent Rh(1) atoms. All Be(1)-Rh(1) bond lengths are 2.50 Å. Fe(1) is bonded in a body-centered cubic geometry to eight equivalent Rh(1) atoms. All Fe(1)-Rh(1) bond lengths are 2.50 Å. Rh(1) is bonded in a body-centered cubic geometry to four equivalent Be(1) and four equivalent Fe(1) atoms.
