,nsites,nelements,volume,density,density_atomic,uncorrected_energy_per_atom,energy_per_atom,formation_energy_per_atom,energy_above_hull,equilibrium_reaction_energy_per_atom,band_gap,efermi,total_magnetization,total_magnetization_normalized_vol,total_magnetization_normalized_formula_units,num_magnetic_sites,num_unique_magnetic_sites,k_voigt,k_reuss,k_vrh,g_voigt,g_reuss,g_vrh,universal_anisotropy,homogeneous_poisson
mp-865869,4,3,42.25211803921723,10.872718355585835,10.563029509804307,-4.8719349525,-4.8719349525,-0.4596435225000004,0.0,-0.12304042549999927,0.0,6.65837882,7e-07,1.656721680438078e-08,7e-07,0,0,171.23800902926916,171.23800902926914,171.23800902926916,67.3847629280825,47.046759281271356,57.21576110467693,2.1614670125544038,0.34967741492570253
mp-865656,4,3,52.17779243812232,10.870756291723168,13.04444810953058,-10.0362738775,-10.0362738775,-0.24186066979885013,0.0,-0.03774184062499941,0.0,7.05507859,9e-07,1.724871747050837e-08,9e-07,0,0,243.14982737740755,243.14982737740755,243.14982737740755,126.02304543440985,113.95610670082014,119.98957606761499,0.5294555545526922,0.28811385894727753
mp-865640,4,3,55.241790505485504,9.698598530547057,13.810447626371376,-8.465059285,-8.465059285,-0.698228047083334,0.0,-0.1696908314583343,0.0,8.15590251,6e-07,1.086134237340515e-08,6e-07,0,0,226.4090994237079,226.40909942370786,226.40909942370786,116.56908421513383,115.85089898396593,116.20999159954988,0.030996100913609936,0.2808564048742725
mp-989405,10,4,341.24210917394936,4.218931981310846,34.12421091739493,-3.0120395429999998,-3.3324395429999996,-1.7554814109195398,0.0,-0.01919965149999925,1.5789,0.00789992,0.0,0.0,0.0,0,0,15.596273030564276,15.596273030564276,15.596273030564276,8.985200264691692,8.639491683968192,8.812345974329942,0.2000746070309969,0.2622618348770429
mp-862699,4,3,64.57140310682323,15.593447203276257,16.142850776705806,-10.693494855,-10.693494855,-0.5322494562500015,0.0,-0.1747686605092582,0.0,7.24926432,0.0,0.0,0.0,0,0,234.7277759666831,234.72777596668305,234.72777596668308,122.65770873461632,121.42457026540707,122.0411395000117,0.050777963080860467,0.2784358652242886
mp-977382,4,3,62.55326708898371,13.642182439894489,15.638316772245927,-10.795918205,-10.795918205,-0.27745223750000036,0.0,-0.03997754416666588,0.0,6.45549792,0.8185882,0.013086258129979626,0.8185882,2,2,232.174582357123,232.1745823571225,232.17458235712274,86.32099572040582,82.59933874973731,84.46016723507157,0.22528370244854834,0.3377812288680545
mp-22903,2,2,100.58221792977244,3.506111301341046,50.29110896488622,-2.758623795,-2.948123795,-1.7211735837499997,0.0,-0.97977523,3.7765,-0.79311606,0.0,0.0,0.0,0,0,9.655227124775175,9.655227124775173,9.655227124775173,5.209863697530957,4.042978900332184,4.62642129893157,1.4431002807149182,0.293414779184929
mp-867911,4,3,69.4134339022319,8.856254553941351,17.353358475557975,-5.12743036,-5.12743036,-0.7236497387499998,0.0,-0.048884673254717015,0.0,4.51938425,3e-06,4.321929965639604e-08,3e-06,0,0,106.34993948858731,106.34993948858713,106.34993948858721,30.586722109913715,-9.964988075302287,10.310867017305714,-20.347094185552184,0.4530414490628278
mp-864715,4,3,59.726661195526226,11.43159728191146,14.931665298881557,-7.01969914,-7.01969914,-0.28832205249999987,0.0,-0.011423988749999836,0.0,7.37530708,1.1348593,0.01900088297728261,1.1348593,3,2,159.55952288039484,159.55952288039487,159.55952288039487,77.55406452523468,74.69628256740258,76.12517354631862,0.19129345260611696,0.29418350736198406
mp-27827,9,3,249.46613104063155,2.8723611151285438,27.718459004514617,-4.130336547777778,-4.539669881111111,-2.2121387564814814,0.0,-0.05820759222221916,2.1471,-0.66329505,0.0,0.0,0.0,0,0,11.090574103079064,11.090574103079062,11.090574103079064,5.473353008789224,5.248875209807968,5.361114109298596,0.2138341930493981,0.29184362554105525
