,nsites,nelements,volume,density,density_atomic,uncorrected_energy_per_atom,energy_per_atom,formation_energy_per_atom,energy_above_hull,equilibrium_reaction_energy_per_atom,band_gap,efermi,total_magnetization,total_magnetization_normalized_vol,total_magnetization_normalized_formula_units,num_magnetic_sites,num_unique_magnetic_sites,k_voigt,k_reuss,k_vrh,g_voigt,g_reuss,g_vrh,universal_anisotropy,homogeneous_poisson
mp-865869,4,3,42.25211803921723,10.872718355585835,10.563029509804307,-4.8719349525,-4.8719349525,-0.4596435225000004,0.0,-0.1230404254999992,0.0,6.65837882,7e-07,1.656721680438078e-08,7e-07,0,0,171.23800902926916,171.23800902926914,171.23800902926916,67.3847629280825,47.04675928127136,57.21576110467693,2.161467012554404,0.3496774149257025
mp-865656,4,3,52.17779243812232,10.870756291723168,13.04444810953058,-10.0362738775,-10.0362738775,-0.2418606697988501,0.0,-0.0377418406249994,0.0,7.05507859,9e-07,1.7248717470508373e-08,9e-07,0,0,243.14982737740755,243.14982737740755,243.14982737740755,126.02304543440984,113.95610670082014,119.989576067615,0.5294555545526922,0.2881138589472775
mp-865640,4,3,55.241790505485504,9.698598530547056,13.810447626371376,-8.465059285,-8.465059285,-0.698228047083334,0.0,-0.1696908314583343,0.0,8.15590251,6e-07,1.0861342373405151e-08,6e-07,0,0,226.4090994237079,226.40909942370783,226.40909942370783,116.56908421513384,115.85089898396592,116.20999159954988,0.0309961009136099,0.2808564048742725
mp-989405,10,4,341.24210917394936,4.218931981310846,34.12421091739493,-3.012039543,-3.332439543,-1.7554814109195398,0.0,-0.0191996514999992,1.5789,0.00789992,0.0,0.0,0.0,0,0,15.596273030564276,15.596273030564276,15.596273030564276,8.985200264691692,8.639491683968192,8.812345974329942,0.2000746070309969,0.2622618348770429
mp-862699,4,3,64.57140310682323,15.593447203276256,16.142850776705806,-10.693494855,-10.693494855,-0.5322494562500015,0.0,-0.1747686605092582,0.0,7.24926432,0.0,0.0,0.0,0,0,234.7277759666831,234.72777596668303,234.72777596668308,122.65770873461632,121.42457026540708,122.0411395000117,0.0507779630808604,0.2784358652242886
mp-977382,4,3,62.55326708898371,13.642182439894489,15.638316772245927,-10.795918205,-10.795918205,-0.2774522375000003,0.0,-0.0399775441666658,0.0,6.45549792,0.8185882,0.0130862581299796,0.8185882,2,2,232.174582357123,232.1745823571225,232.17458235712277,86.32099572040582,82.59933874973731,84.46016723507157,0.2252837024485483,0.3377812288680545
mp-22903,2,2,100.58221792977244,3.506111301341046,50.29110896488622,-2.758623795,-2.948123795,-1.7211735837499995,0.0,-0.97977523,3.7765,-0.79311606,0.0,0.0,0.0,0,0,9.655227124775177,9.655227124775172,9.655227124775172,5.209863697530957,4.042978900332184,4.62642129893157,1.4431002807149182,0.293414779184929
mp-867911,4,3,69.4134339022319,8.856254553941351,17.353358475557975,-5.12743036,-5.12743036,-0.7236497387499998,0.0,-0.048884673254717,0.0,4.51938425,3e-06,4.3219299656396044e-08,3e-06,0,0,106.34993948858732,106.34993948858713,106.3499394885872,30.586722109913715,-9.964988075302289,10.310867017305714,-20.347094185552184,0.4530414490628278
mp-27827,9,3,249.46613104063155,2.872361115128544,27.718459004514617,-4.130336547777778,-4.539669881111111,-2.2121387564814814,0.0,-0.0582075922222191,2.1471,-0.66329505,0.0,0.0,0.0,0,0,11.090574103079064,11.090574103079062,11.090574103079064,5.473353008789224,5.248875209807968,5.361114109298596,0.2138341930493981,0.2918436255410552
mp-866375,4,3,47.18664242767824,8.1712147720253,11.79666060691956,-7.844281295,-7.844281295,-0.4796407220833334,0.0,-0.0736398850000004,0.1708999999999996,7.16593483,0.0,0.0,0.0,0,0,214.58812943536967,214.5881294353697,214.5881294353697,126.77277070743008,126.77084762721331,126.77180916732168,7.584867707155496e-05,0.2532137823316996
mp-5478,16,3,223.0629085458592,8.749107397040602,13.9414317841162,-5.312587845625,-5.656087845625,-0.9449574179166662,0.0,-0.0987336720138882,1.0564999999999998,3.54000838,0.0,0.0,0.0,0,0,140.67341562645387,140.67341562645385,140.67341562645385,37.28103813225264,36.95477140591454,37.1179047690836,0.0441440596065865,0.3787361560921727
mp-568880,4,3,77.19973075465303,8.960141957705087,19.299932688663255,-5.7133244825,-5.7133244825,-0.8188448666666668,0.0,-0.0377932763888901,0.0,6.14387217,1.7e-06,2.202080218910008e-08,1.7e-06,0,0,102.42802730403564,102.42802730403557,102.4280273040356,28.701339173742436,26.01065158036965,27.35599537705604,0.5172280258068316,0.3773787246345675
mp-866213,4,3,59.627527049516246,9.463125950797316,14.90688176237906,-10.2119065225,-10.2119065225,-0.346301518333334,0.0,-0.0980182187500009,0.0,8.29190723,1e-07,1.6770777684098387e-09,1e-07,0,0,248.34049679806637,248.3404967980663,248.34049679806637,118.88735199405671,113.77107064800326,116.32921132103,0.2248498373493701,0.2974183841331166
mp-862374,4,3,69.05647272839997,10.581944568377418,17.264118182099992,-3.981800385,-3.981800385,-0.4732161074999998,0.0,-0.0204494099999998,0.0,5.83390608,4e-07,5.792360718642629e-09,4e-07,0,0,113.01248488327046,113.0124848832704,113.01248488327042,36.90238577575089,11.0685738895559,23.9854798326534,11.669891778276558,0.4008927086100727
mp-865131,4,3,68.32259530584457,15.800661270545207,17.080648826461143,-10.41569051,-10.41569051,-0.7891771700000003,0.0,-0.0055742174999995,0.0,6.41382021,2.3e-06,3.3663826581881175e-08,2.3e-06,0,0,201.6610007224957,201.6610007224957,201.6610007224957,55.29864694361677,36.71431865689516,46.00648280025597,2.5309373790096696,0.3939925670169566
mp-865178,4,3,68.9610805543793,15.702214466080632,17.240270138594823,-9.9450290275,-9.9450290275,-0.915749,0.0,-0.0125597175000002,0.0,6.8564159,2e-07,2.900186574691066e-09,2e-07,0,0,193.0921062287419,193.09210622874144,193.09210622874167,35.191341746141475,-3.1847236932120424,16.003309026464716,-60.25022754901581,0.459674474948968
mp-861625,4,3,60.75524403272618,7.873867175950649,15.188811008181546,-2.402207895,-2.402207895,-0.1937632741666668,0.0,-0.0381092645833329,0.0,2.62516113,5e-07,8.229742270982764e-09,5e-07,0,0,63.32387103818961,63.32387103818975,63.32387103818968,28.87006380011769,9.50905647167359,19.189560135895643,10.180298847797552,0.3623820102147972
mp-863727,4,3,53.48724108970368,8.091051663562684,13.37181027242592,-6.777465045,-6.777465045,-0.6442073891666666,0.0,-0.095452449722222,0.0,5.30763662,6.8e-06,1.2713312299274686e-07,6.8e-06,0,0,153.95614874536642,153.95614874536642,153.95614874536642,61.96706019993266,61.84476590097593,61.905913050454295,0.0098871987932298,0.3227120745235279
mp-867828,4,3,54.75922389918376,9.220384891955057,13.68980597479594,-8.37327048,-8.37327048,-0.2758897337500006,0.0,-0.0512896774999998,0.0,6.57526963,0.0003772,6.888337217752689e-06,0.0003772,0,0,230.69749995295055,230.69749995295055,230.69749995295055,71.36481543174423,71.33510517452044,71.34996030313233,0.0020824429396375,0.3598126957308735
mp-867915,4,3,51.64768224958595,7.476628996810224,12.911920562396489,-6.338221305,-6.338221305,-0.4439211256250006,0.0,-0.0583439517499986,0.0,5.28928736,3e-07,5.808585921634558e-09,3e-07,0,0,148.74682097656012,148.74682097656012,148.74682097656012,84.52355515355312,83.66027911349525,84.09191713352419,0.0515941405650064,0.2621531695174763
