LENGTHS: 503 89
Directory 'outs_efermi_norm_color_3_s5200' created.
Fold 1/5
Epoch 1/800, Loss: 1.0202, R^2: -0.0739, RMSE: 1.0050
Fold 1, Epoch 1, Validation R^2: 0.0124, Validation RMSE: 0.9841
Epoch 2/800, Loss: 0.9302, R^2: 0.0761, RMSE: 0.9423
Fold 1, Epoch 2, Validation R^2: 0.1446, Validation RMSE: 0.9159
Epoch 3/800, Loss: 0.7244, R^2: 0.2581, RMSE: 0.8443
Fold 1, Epoch 3, Validation R^2: 0.2452, Validation RMSE: 0.8603
Epoch 4/800, Loss: 0.7291, R^2: 0.1928, RMSE: 0.8420
Fold 1, Epoch 4, Validation R^2: 0.2364, Validation RMSE: 0.8653
Epoch 5/800, Loss: 0.7163, R^2: 0.2590, RMSE: 0.8426
Fold 1, Epoch 5, Validation R^2: 0.2376, Validation RMSE: 0.8646
Epoch 6/800, Loss: 0.6875, R^2: 0.2689, RMSE: 0.8251
Fold 1, Epoch 6, Validation R^2: 0.2415, Validation RMSE: 0.8624
Epoch 7/800, Loss: 0.6589, R^2: 0.3157, RMSE: 0.8054
Fold 1, Epoch 7, Validation R^2: 0.2496, Validation RMSE: 0.8578
Epoch 8/800, Loss: 0.6391, R^2: 0.3161, RMSE: 0.7923
Fold 1, Epoch 8, Validation R^2: 0.2516, Validation RMSE: 0.8567
Epoch 9/800, Loss: 0.6236, R^2: 0.3447, RMSE: 0.7814
Fold 1, Epoch 9, Validation R^2: 0.2518, Validation RMSE: 0.8565
Epoch 10/800, Loss: 0.6392, R^2: 0.3384, RMSE: 0.7854
Fold 1, Epoch 10, Validation R^2: 0.2513, Validation RMSE: 0.8568
Epoch 11/800, Loss: 0.6155, R^2: 0.3437, RMSE: 0.7685
Fold 1, Epoch 11, Validation R^2: 0.2509, Validation RMSE: 0.8571
Epoch 12/800, Loss: 0.6168, R^2: 0.3514, RMSE: 0.7786
Fold 1, Epoch 12, Validation R^2: 0.2502, Validation RMSE: 0.8574
Epoch 13/800, Loss: 0.6091, R^2: 0.3647, RMSE: 0.7565
Fold 1, Epoch 13, Validation R^2: 0.2488, Validation RMSE: 0.8583
Epoch 14/800, Loss: 0.6287, R^2: 0.3263, RMSE: 0.7886
Fold 1, Epoch 14, Validation R^2: 0.2478, Validation RMSE: 0.8589
Epoch 15/800, Loss: 0.6130, R^2: 0.3576, RMSE: 0.7680
Fold 1, Epoch 15, Validation R^2: 0.2515, Validation RMSE: 0.8567
Epoch 16/800, Loss: 0.6047, R^2: 0.3806, RMSE: 0.7648
Fold 1, Epoch 16, Validation R^2: 0.2803, Validation RMSE: 0.8401
Epoch 17/800, Loss: 0.6006, R^2: 0.3027, RMSE: 0.7583
Fold 1, Epoch 17, Validation R^2: 0.2901, Validation RMSE: 0.8343
Epoch 18/800, Loss: 0.6363, R^2: 0.2627, RMSE: 0.7912
Fold 1, Epoch 18, Validation R^2: 0.2929, Validation RMSE: 0.8327
Epoch 19/800, Loss: 0.6316, R^2: 0.3124, RMSE: 0.7863
Fold 1, Epoch 19, Validation R^2: 0.2474, Validation RMSE: 0.8591
Epoch 20/800, Loss: 0.6061, R^2: 0.3888, RMSE: 0.7712
Fold 1, Epoch 20, Validation R^2: 0.2482, Validation RMSE: 0.8586
Epoch 21/800, Loss: 0.5978, R^2: 0.3696, RMSE: 0.7640
Fold 1, Epoch 21, Validation R^2: 0.2456, Validation RMSE: 0.8601
Epoch 22/800, Loss: 0.6288, R^2: 0.3661, RMSE: 0.7816
Fold 1, Epoch 22, Validation R^2: 0.2443, Validation RMSE: 0.8608
Epoch 23/800, Loss: 0.6264, R^2: 0.3128, RMSE: 0.7805
Fold 1, Epoch 23, Validation R^2: 0.2436, Validation RMSE: 0.8612
Epoch 24/800, Loss: 0.5952, R^2: 0.3777, RMSE: 0.7620
Fold 1, Epoch 24, Validation R^2: 0.2442, Validation RMSE: 0.8609
Epoch 25/800, Loss: 0.6310, R^2: 0.3610, RMSE: 0.7782
Fold 1, Epoch 25, Validation R^2: 0.2425, Validation RMSE: 0.8619
Epoch 26/800, Loss: 0.5987, R^2: 0.3227, RMSE: 0.7671
Fold 1, Epoch 26, Validation R^2: 0.2460, Validation RMSE: 0.8598
Epoch 27/800, Loss: 0.5558, R^2: 0.4382, RMSE: 0.7326
Fold 1, Epoch 27, Validation R^2: 0.2449, Validation RMSE: 0.8605
Epoch 28/800, Loss: 0.6076, R^2: 0.3641, RMSE: 0.7686
Fold 1, Epoch 28, Validation R^2: 0.1050, Validation RMSE: 0.9368
Epoch 29/800, Loss: 0.5987, R^2: 0.3764, RMSE: 0.7594
Fold 1, Epoch 29, Validation R^2: 0.1567, Validation RMSE: 0.9093
Epoch 30/800, Loss: 0.5971, R^2: 0.3767, RMSE: 0.7630
Fold 1, Epoch 30, Validation R^2: 0.2504, Validation RMSE: 0.8574
Epoch 31/800, Loss: 0.5799, R^2: 0.3236, RMSE: 0.7511
Fold 1, Epoch 31, Validation R^2: 0.2899, Validation RMSE: 0.8344
Epoch 32/800, Loss: 0.5590, R^2: 0.4166, RMSE: 0.7407
Fold 1, Epoch 32, Validation R^2: 0.2899, Validation RMSE: 0.8344
Epoch 33/800, Loss: 0.5441, R^2: 0.4322, RMSE: 0.7251
Fold 1, Epoch 33, Validation R^2: 0.3221, Validation RMSE: 0.8153
Epoch 34/800, Loss: 0.6024, R^2: 0.3779, RMSE: 0.7677
Fold 1, Epoch 34, Validation R^2: 0.2294, Validation RMSE: 0.8693
Epoch 35/800, Loss: 0.6799, R^2: 0.2756, RMSE: 0.8181
Fold 1, Epoch 35, Validation R^2: -0.0409, Validation RMSE: 1.0103
Epoch 36/800, Loss: 0.8846, R^2: 0.0874, RMSE: 0.9178
Fold 1, Epoch 36, Validation R^2: -0.0991, Validation RMSE: 1.0382
Epoch 37/800, Loss: 0.7310, R^2: 0.2313, RMSE: 0.8355
Fold 1, Epoch 37, Validation R^2: 0.3552, Validation RMSE: 0.7951
Epoch 38/800, Loss: 0.6613, R^2: 0.2988, RMSE: 0.7996
Fold 1, Epoch 38, Validation R^2: 0.2344, Validation RMSE: 0.8664
Epoch 39/800, Loss: 0.6085, R^2: 0.3549, RMSE: 0.7613
Fold 1, Epoch 39, Validation R^2: 0.2451, Validation RMSE: 0.8603
Epoch 40/800, Loss: 0.6077, R^2: 0.3105, RMSE: 0.7756
Fold 1, Epoch 40, Validation R^2: 0.2476, Validation RMSE: 0.8590
Epoch 41/800, Loss: 0.6117, R^2: 0.3677, RMSE: 0.7722
Fold 1, Epoch 41, Validation R^2: 0.2955, Validation RMSE: 0.8312
Epoch 42/800, Loss: 0.5769, R^2: 0.3484, RMSE: 0.7466
Fold 1, Epoch 42, Validation R^2: 0.2915, Validation RMSE: 0.8335
Epoch 43/800, Loss: 0.5906, R^2: 0.3625, RMSE: 0.7577
Fold 1, Epoch 43, Validation R^2: 0.3047, Validation RMSE: 0.8257
Epoch 44/800, Loss: 0.5265, R^2: 0.4049, RMSE: 0.7141
Fold 1, Epoch 44, Validation R^2: 0.3138, Validation RMSE: 0.8203
Epoch 45/800, Loss: 0.5852, R^2: 0.3424, RMSE: 0.7495
Fold 1, Epoch 45, Validation R^2: 0.3439, Validation RMSE: 0.8021
Epoch 46/800, Loss: 0.5054, R^2: 0.4391, RMSE: 0.7044
Fold 1, Epoch 46, Validation R^2: 0.2588, Validation RMSE: 0.8525
Epoch 47/800, Loss: 0.4801, R^2: 0.4397, RMSE: 0.6856
Fold 1, Epoch 47, Validation R^2: 0.3049, Validation RMSE: 0.8256
Epoch 48/800, Loss: 0.4351, R^2: 0.5484, RMSE: 0.6499
Fold 1, Epoch 48, Validation R^2: 0.3373, Validation RMSE: 0.8061
Epoch 49/800, Loss: 0.4725, R^2: 0.5049, RMSE: 0.6806
