LENGTHS: 503 89
Directory 'outs_EF_norm_color_3' created.
Fold 1/5
Epoch 1/800, Loss: 0.9947, R^2: -0.0409, RMSE: 0.9759
Fold 1, Epoch 1, Validation R^2: 0.0051, Validation RMSE: 0.9800
Epoch 2/800, Loss: 0.8512, R^2: 0.1418, RMSE: 0.8772
Fold 1, Epoch 2, Validation R^2: 0.0641, Validation RMSE: 0.9505
Epoch 3/800, Loss: 0.7224, R^2: 0.1987, RMSE: 0.8269
Fold 1, Epoch 3, Validation R^2: 0.2463, Validation RMSE: 0.8530
Epoch 4/800, Loss: 0.6322, R^2: 0.1303, RMSE: 0.7649
Fold 1, Epoch 4, Validation R^2: 0.3103, Validation RMSE: 0.8160
Epoch 5/800, Loss: 0.6067, R^2: 0.3538, RMSE: 0.7255
Fold 1, Epoch 5, Validation R^2: 0.3737, Validation RMSE: 0.7776
Epoch 6/800, Loss: 0.5328, R^2: 0.4469, RMSE: 0.7032
Fold 1, Epoch 6, Validation R^2: 0.3572, Validation RMSE: 0.7877
Epoch 7/800, Loss: 0.5270, R^2: 0.4470, RMSE: 0.7043
Fold 1, Epoch 7, Validation R^2: 0.3785, Validation RMSE: 0.7746
Epoch 8/800, Loss: 0.5022, R^2: 0.4887, RMSE: 0.6741
Fold 1, Epoch 8, Validation R^2: 0.3851, Validation RMSE: 0.7704
Epoch 9/800, Loss: 0.5149, R^2: 0.3820, RMSE: 0.6964
Fold 1, Epoch 9, Validation R^2: 0.3426, Validation RMSE: 0.7967
Epoch 10/800, Loss: 0.5470, R^2: 0.4168, RMSE: 0.7220
Fold 1, Epoch 10, Validation R^2: 0.3447, Validation RMSE: 0.7954
Epoch 11/800, Loss: 0.5269, R^2: 0.3827, RMSE: 0.7060
Fold 1, Epoch 11, Validation R^2: 0.3447, Validation RMSE: 0.7953
Epoch 12/800, Loss: 0.5421, R^2: 0.4098, RMSE: 0.7164
Fold 1, Epoch 12, Validation R^2: 0.3452, Validation RMSE: 0.7950
Epoch 13/800, Loss: 0.5192, R^2: 0.4470, RMSE: 0.7068
Fold 1, Epoch 13, Validation R^2: 0.3424, Validation RMSE: 0.7968
Epoch 14/800, Loss: 0.5363, R^2: 0.3833, RMSE: 0.7046
Fold 1, Epoch 14, Validation R^2: 0.3720, Validation RMSE: 0.7786
Epoch 15/800, Loss: 0.4910, R^2: 0.4063, RMSE: 0.6765
Fold 1, Epoch 15, Validation R^2: 0.3754, Validation RMSE: 0.7765
Epoch 16/800, Loss: 0.5105, R^2: 0.4860, RMSE: 0.6938
Fold 1, Epoch 16, Validation R^2: 0.3773, Validation RMSE: 0.7753
Epoch 17/800, Loss: 0.4812, R^2: 0.4997, RMSE: 0.6773
Fold 1, Epoch 17, Validation R^2: 0.3846, Validation RMSE: 0.7707
Epoch 18/800, Loss: 0.4714, R^2: 0.4626, RMSE: 0.6659
Fold 1, Epoch 18, Validation R^2: 0.4080, Validation RMSE: 0.7560
Epoch 19/800, Loss: 0.5420, R^2: 0.4086, RMSE: 0.6966
Fold 1, Epoch 19, Validation R^2: 0.3698, Validation RMSE: 0.7800
Epoch 20/800, Loss: 0.5342, R^2: 0.3832, RMSE: 0.7078
Fold 1, Epoch 20, Validation R^2: 0.4299, Validation RMSE: 0.7418
Epoch 21/800, Loss: 0.5357, R^2: 0.5102, RMSE: 0.6714
Fold 1, Epoch 21, Validation R^2: 0.4566, Validation RMSE: 0.7243
Epoch 22/800, Loss: 0.4094, R^2: 0.5639, RMSE: 0.6110
Fold 1, Epoch 22, Validation R^2: 0.4331, Validation RMSE: 0.7398
Epoch 23/800, Loss: 0.4545, R^2: 0.5475, RMSE: 0.6474
Fold 1, Epoch 23, Validation R^2: 0.3226, Validation RMSE: 0.8087
Epoch 24/800, Loss: 0.5465, R^2: 0.3798, RMSE: 0.7194
Fold 1, Epoch 24, Validation R^2: 0.3314, Validation RMSE: 0.8034
Epoch 25/800, Loss: 0.5217, R^2: 0.4226, RMSE: 0.7031
Fold 1, Epoch 25, Validation R^2: 0.4262, Validation RMSE: 0.7443
Epoch 26/800, Loss: 0.4759, R^2: 0.4702, RMSE: 0.6737
Fold 1, Epoch 26, Validation R^2: 0.2990, Validation RMSE: 0.8227
Epoch 27/800, Loss: 0.6270, R^2: 0.3674, RMSE: 0.7530
Fold 1, Epoch 27, Validation R^2: 0.3484, Validation RMSE: 0.7931
Epoch 28/800, Loss: 0.5961, R^2: 0.1852, RMSE: 0.7391
Fold 1, Epoch 28, Validation R^2: 0.3991, Validation RMSE: 0.7617
Epoch 29/800, Loss: 0.4894, R^2: 0.3341, RMSE: 0.6569
Fold 1, Epoch 29, Validation R^2: 0.3385, Validation RMSE: 0.7992
Epoch 30/800, Loss: 0.4014, R^2: 0.5745, RMSE: 0.6160
Fold 1, Epoch 30, Validation R^2: 0.5602, Validation RMSE: 0.6516
Epoch 31/800, Loss: 0.4010, R^2: 0.5528, RMSE: 0.5929
Fold 1, Epoch 31, Validation R^2: 0.1911, Validation RMSE: 0.8837
Epoch 32/800, Loss: 0.6575, R^2: 0.2764, RMSE: 0.7796
Fold 1, Epoch 32, Validation R^2: 0.4584, Validation RMSE: 0.7231
Epoch 33/800, Loss: 0.3663, R^2: 0.5491, RMSE: 0.5774
Fold 1, Epoch 33, Validation R^2: 0.6096, Validation RMSE: 0.6139
Epoch 34/800, Loss: 0.3393, R^2: 0.6040, RMSE: 0.5331
Fold 1, Epoch 34, Validation R^2: 0.6133, Validation RMSE: 0.6110
Epoch 35/800, Loss: 0.3105, R^2: 0.6152, RMSE: 0.5218
Fold 1, Epoch 35, Validation R^2: 0.5478, Validation RMSE: 0.6607
Epoch 36/800, Loss: 0.3712, R^2: 0.5997, RMSE: 0.5510
Fold 1, Epoch 36, Validation R^2: 0.6339, Validation RMSE: 0.5945
Epoch 37/800, Loss: 0.3577, R^2: 0.5228, RMSE: 0.5753
Fold 1, Epoch 37, Validation R^2: 0.5857, Validation RMSE: 0.6324
Epoch 38/800, Loss: 0.3482, R^2: 0.6244, RMSE: 0.5651
Fold 1, Epoch 38, Validation R^2: 0.5699, Validation RMSE: 0.6443
Epoch 39/800, Loss: 0.3372, R^2: 0.6197, RMSE: 0.5693
Fold 1, Epoch 39, Validation R^2: 0.6364, Validation RMSE: 0.5925
Epoch 40/800, Loss: 0.3235, R^2: 0.6687, RMSE: 0.5489
Fold 1, Epoch 40, Validation R^2: 0.5658, Validation RMSE: 0.6474
Epoch 41/800, Loss: 0.3108, R^2: 0.6879, RMSE: 0.5295
Fold 1, Epoch 41, Validation R^2: 0.5627, Validation RMSE: 0.6497
Epoch 42/800, Loss: 0.3393, R^2: 0.6316, RMSE: 0.5497
Fold 1, Epoch 42, Validation R^2: 0.6114, Validation RMSE: 0.6125
Epoch 43/800, Loss: 0.2949, R^2: 0.6509, RMSE: 0.5262
Fold 1, Epoch 43, Validation R^2: 0.6228, Validation RMSE: 0.6035
Epoch 44/800, Loss: 0.2950, R^2: 0.6960, RMSE: 0.5229
Fold 1, Epoch 44, Validation R^2: 0.6514, Validation RMSE: 0.5801
Epoch 45/800, Loss: 0.2820, R^2: 0.6797, RMSE: 0.5080
Fold 1, Epoch 45, Validation R^2: 0.6365, Validation RMSE: 0.5924
Epoch 46/800, Loss: 0.2734, R^2: 0.7308, RMSE: 0.5002
Fold 1, Epoch 46, Validation R^2: 0.6282, Validation RMSE: 0.5991
Epoch 47/800, Loss: 0.2676, R^2: 0.7321, RMSE: 0.4904
Fold 1, Epoch 47, Validation R^2: 0.6200, Validation RMSE: 0.6057
Epoch 48/800, Loss: 0.2503, R^2: 0.7026, RMSE: 0.4780
Fold 1, Epoch 48, Validation R^2: 0.6116, Validation RMSE: 0.6124
Epoch 49/800, Loss: 0.2861, R^2: 0.7069, RMSE: 0.5133
Fold 1, Epoch 49, Validation R^2: 0.5898, Validation RMSE: 0.6293
Epoch 50/800, Loss: 0.2648, R^2: 0.7290, RMSE: 0.4987
Fold 1, Epoch 50, Validation R^2: 0.5699, Validation RMSE: 0.6444
Epoch 51/800, Loss: 0.2324, R^2: 0.7584, RMSE: 0.4567
Fold 1, Epoch 51, Validation R^2: 0.6793, Validation RMSE: 0.5565
Epoch 52/800, Loss: 0.2349, R^2: 0.7531, RMSE: 0.4574
Fold 1, Epoch 52, Validation R^2: 0.6358, Validation RMSE: 0.5930
Epoch 53/800, Loss: 0.2588, R^2: 0.7514, RMSE: 0.4776
Fold 1, Epoch 53, Validation R^2: 0.6948, Validation RMSE: 0.5428
Epoch 54/800, Loss: 0.2292, R^2: 0.6742, RMSE: 0.4567
Fold 1, Epoch 54, Validation R^2: 0.6934, Validation RMSE: 0.5441
Epoch 55/800, Loss: 0.2307, R^2: 0.7535, RMSE: 0.4621
Fold 1, Epoch 55, Validation R^2: 0.6523, Validation RMSE: 0.5793
Epoch 56/800, Loss: 0.2171, R^2: 0.7580, RMSE: 0.4544
Fold 1, Epoch 56, Validation R^2: 0.6477, Validation RMSE: 0.5832
Epoch 57/800, Loss: 0.2210, R^2: 0.7681, RMSE: 0.4480
Fold 1, Epoch 57, Validation R^2: 0.6978, Validation RMSE: 0.5402
Epoch 58/800, Loss: 0.2130, R^2: 0.7753, RMSE: 0.4487
Fold 1, Epoch 58, Validation R^2: 0.7023, Validation RMSE: 0.5361
Epoch 59/800, Loss: 0.2269, R^2: 0.7916, RMSE: 0.4408
Fold 1, Epoch 59, Validation R^2: 0.7314, Validation RMSE: 0.5093
Epoch 60/800, Loss: 0.2061, R^2: 0.7750, RMSE: 0.4302
Fold 1, Epoch 60, Validation R^2: 0.7373, Validation RMSE: 0.5036
Epoch 61/800, Loss: 0.2040, R^2: 0.7613, RMSE: 0.4287
Fold 1, Epoch 61, Validation R^2: 0.6676, Validation RMSE: 0.5665
Epoch 62/800, Loss: 0.2503, R^2: 0.7247, RMSE: 0.4902
Fold 1, Epoch 62, Validation R^2: 0.7328, Validation RMSE: 0.5078
Epoch 63/800, Loss: 0.2477, R^2: 0.7069, RMSE: 0.4784
Fold 1, Epoch 63, Validation R^2: 0.6839, Validation RMSE: 0.5524
Epoch 64/800, Loss: 0.2173, R^2: 0.7606, RMSE: 0.4538
Fold 1, Epoch 64, Validation R^2: 0.7267, Validation RMSE: 0.5136
Epoch 65/800, Loss: 0.1916, R^2: 0.7972, RMSE: 0.4198
Fold 1, Epoch 65, Validation R^2: 0.6654, Validation RMSE: 0.5684
Epoch 66/800, Loss: 0.1903, R^2: 0.7594, RMSE: 0.4186
Fold 1, Epoch 66, Validation R^2: 0.6754, Validation RMSE: 0.5598
Epoch 67/800, Loss: 0.1858, R^2: 0.7901, RMSE: 0.4181
Fold 1, Epoch 67, Validation R^2: 0.7131, Validation RMSE: 0.5263
